gate: 5
check: G05-C2
captured_utc: 2026-09-14T10:24:14Z
repo_commit: 9f50972a8ce6cda6fc53bb2439ce8669d1a98282
plan_commit: 4ebc8def34df78a0bc6b29e42656986ef987f4c9
plan_sha256: 42eaac5e61d177430ce8e331767d2137b3f9b2bd197e13945b84f7c5e8cd79c7
target_identity: kube-system namespace UID d7d8a462-c503-49ed-a1e0-899f372f9465; API server https://10.2.0.100:6443 (private VIP); hosts veridex-server-1/2/3 (control-plane,etcd)
captured_by: agent
command: ssh root@veridex-agent-2 -- backgrounded shell loop: every ~0.3s, TCP-connect probe of 10.2.0.100:6443 via /dev/tcp, timestamped OK/FAIL, for 10 minutes bracketing the drill
exit_status: 0
proof_class: live
result: PASS
limitations: TCP-connect only (not a full authenticated API call) -- sufficient to measure VIP reachability/interruption timing, run from a worker node (a realistic client position, and unaffected by the etcd voter that goes down). 1639 samples captured; full log is the same file cited by C4.
--- unedited output ---
2026-09-14T10:15:21.184Z OK
2026-09-14T10:15:21.496Z OK
2026-09-14T10:15:21.805Z OK
2026-09-14T10:15:22.114Z OK
2026-09-14T10:15:22.424Z OK
2026-09-14T10:15:22.732Z OK
2026-09-14T10:15:23.040Z OK
2026-09-14T10:15:23.349Z OK
2026-09-14T10:15:23.657Z OK
2026-09-14T10:15:23.967Z OK
2026-09-14T10:15:24.274Z OK
2026-09-14T10:15:24.582Z OK
2026-09-14T10:15:24.891Z OK
2026-09-14T10:15:25.200Z OK
2026-09-14T10:15:25.508Z OK
2026-09-14T10:15:25.817Z OK
2026-09-14T10:15:26.127Z OK
2026-09-14T10:15:26.436Z OK
2026-09-14T10:15:26.745Z OK
2026-09-14T10:15:27.053Z OK
2026-09-14T10:15:27.360Z OK
2026-09-14T10:15:27.668Z OK
2026-09-14T10:15:27.975Z OK
2026-09-14T10:15:28.281Z OK
2026-09-14T10:15:28.589Z OK
2026-09-14T10:15:28.897Z OK
2026-09-14T10:15:29.204Z OK
2026-09-14T10:15:29.512Z OK
2026-09-14T10:15:29.819Z OK
2026-09-14T10:15:30.126Z OK
2026-09-14T10:15:30.434Z OK
2026-09-14T10:15:30.744Z OK
2026-09-14T10:15:31.053Z OK
2026-09-14T10:15:31.363Z OK
2026-09-14T10:15:31.671Z OK
2026-09-14T10:15:31.980Z OK
2026-09-14T10:15:32.288Z OK
2026-09-14T10:15:32.596Z OK
2026-09-14T10:15:32.906Z OK
